,Hotels,Ratings,Price,Link,Descriptions
0,Hostal Rivera - Atocha,"7,9",€ 150,https://www.booking.com/hotel/es/hostal-rivera.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtyitK0GwAIB0gIkMmM3Y2RiYTgtMjlkNC00MGE4LWJmZWEtZDA5Y2UyZTVhYjI32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=4811599fcc3a0323&srepoch=1705841104&all_sr_blocks=37214802_234899262_2_0_0&highlighted_blocks=37214802_234899262_2_0_0&matching_block_id=37214802_234899262_2_0_0&sr_pri_blocks=37214802_234899262_2_0_0__15000&from=searchresults#hotelTmpl,"El Hostal Rivera está ubicado en una zona céntrica de Madrid, a 5 minutos a pie del Museo del Prado y de la estación de Atocha. Cuenta con recepción 24 horas y ofrece WiFi gratuita en las zonas comunes.

Las habitaciones disponen de calefacción y aire acondicionado. También tienen TV de pantalla plana, balcón, armario y baño privado con bañera o ducha.

Hay consigna de equipaje, ascensor y mostrador de información turística. La estación de metro Antón Martín queda a menos de 100 metros. La Puerta del Sol se encuentra a 10 minutos a pie."
1,flor hostel capsules,"6,5",€ 86,https://www.booking.com/hotel/es/flor-hostel-capsuales.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtyitK0GwAIB0gIkMmM3Y2RiYTgtMjlkNC00MGE4LWJmZWEtZDA5Y2UyZTVhYjI32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=4811599fcc3a0323&srepoch=1705841104&all_sr_blocks=1054592202_377643714_2_0_0&highlighted_blocks=1054592202_377643714_2_0_0&matching_block_id=1054592202_377643714_2_0_0&sr_pri_blocks=1054592202_377643714_2_0_0__8640&from=searchresults#hotelTmpl,"Flor hostel capsules está muy bien situado en el barrio de Centro de Madrid, Madrid, a menos de 1 km de Estación de metro Gran Vía, a pocos pasos de Estación de metro Plaza de España y a menos de 1 km de Templo de Debod. El alojamiento está a unos 8 min a pie de Royal Palace of Madrid, a 1,8 km de Museo Thyssen-Bornemisza y a menos de 1 km de Mercado de San Miguel. El alojamiento está a 8 min a pie de Gran Vía y a 700 metros del centro de la ciudad.

Las habitaciones del alojamiento tienen wifi gratis y baño compartido con ducha y artículos de aseo gratuitos. Algunas habitaciones ofrecen balcón. Las unidades de este alojamiento disponen de aire acondicionado y armario.

Cerca del alojamiento hay puntos de interés como Plaza Mayor de Madrid, Puerta del Sol y Casa de Campo. El aeropuerto más cercano (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 19 km."
2,Hostal PETITE MAMAN,"7,8",€ 244,https://www.booking.com/hotel/es/hostal-atelier.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtyitK0GwAIB0gIkMmM3Y2RiYTgtMjlkNC00MGE4LWJmZWEtZDA5Y2UyZTVhYjI32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=4811599fcc3a0323&srepoch=1705841104&all_sr_blocks=89464402_88211682_2_0_0&highlighted_blocks=89464402_88211682_2_0_0&matching_block_id=89464402_88211682_2_0_0&sr_pri_blocks=89464402_88211682_2_0_0__24384&from=searchresults#hotelTmpl,"El Hostal PETITE MAMAN está en el centro de Madrid, a 5 minutos a pie de las estaciones de metro Puerta del Sol y Sevilla, y ofrece habitaciones de estilo moderno con aire acondicionado y conexión Wi-Fi gratuita.

Todas las habitaciones del Hostal PETITE MAMAN presentan una decoración de tipo contemporáneo y disponen de suelo de parquet, TV de pantalla plana, caja fuerte y baño privado con ducha y artículos de aseo gratuitos.

El establecimiento está rodeado de tiendas, cafeterías y bares y permite un acceso fácil a lugares de interés y locales de ocio nocturno de Madrid.

El Hostal PETITE MAMAN se encuentra a 15 minutos a pie del jardín histórico Paseo del Prado y de los Museos del Prado, Reina Sofía y Thyssen-Bornemisza. La plaza de Santa Ana y la puerta del Sol están a 300 metros del establecimiento."
3,New Dream Madrid,"8,0",€ 263,https://www.booking.com/hotel/es/new-dream-madrid.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtyitK0GwAIB0gIkMmM3Y2RiYTgtMjlkNC00MGE4LWJmZWEtZDA5Y2UyZTVhYjI32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=4811599fcc3a0323&srepoch=1705841104&all_sr_blocks=1097424504_382626243_2_0_0&highlighted_blocks=1097424504_382626243_2_0_0&matching_block_id=1097424504_382626243_2_0_0&sr_pri_blocks=1097424504_382626243_2_0_0__26280&from=searchresults#hotelTmpl,"New Dream Madrid se encuentra en el centro de Madrid, a menos de 1 km de Gran Vía, yofrece habitaciones con aire acondicionado y wifi gratis. El alojamiento está cerca de varios lugares de interés destacados, a unos 6 min a pie de Estación de metro Plaza de España, a 1,2 km de Templo de Debod y a 14 min a pie de Royal Palace of Madrid. Este alojamiento libre de humo se encuentra a 12 min a pie de Estación de metro Gran Vía.

En el hostal o pensión, cada habitación incluye TV y algunas también ofrecen balcón. En New Dream Madrid, cada habitación tiene ropa de cama y toallas.

El personal de recepción habla tanto inglés como español y está dispuesto a ayudar en cualquier momento.

Cerca del alojamiento hay puntos de interés como Museo Thyssen-Bornemisza, Mercado de San Miguel y Plaza Mayor de Madrid. El aeropuerto más cercano (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 18 km del alojamiento."
4,Casa de Huespedes Dolce Vita,"7,7",€ 182,https://www.booking.com/hotel/es/hostal-dolce-vita.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtyitK0GwAIB0gIkMmM3Y2RiYTgtMjlkNC00MGE4LWJmZWEtZDA5Y2UyZTVhYjI32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=4811599fcc3a0323&srepoch=1705841104&all_sr_blocks=4155308_88180780_0_0_0&highlighted_blocks=4155308_88180780_0_0_0&matching_block_id=4155308_88180780_0_0_0&sr_pri_blocks=4155308_88180780_0_0_0__18183&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El establecimiento Casa de Huespedes Dolce Vita está situado en el moderno barrio de Chueca. Ofrece una buena relación calidad-precio y tiene interiores coloridos y WiFi gratuita en las zonas comunes.

Las habitaciones del Casa de Huespedes Dolce Vita son luminosas y confortables, y están equipadas con TV. Algunas incluyen baño privado, y el establecimiento cuenta con recepción 24 horas con consigna de equipaje.

El Casa de Huespedes Dolce Vita ocupa un edificio histórico del centro de Madrid, situado entre las estaciones de metro Chueca y Gran Vía. La zona de los alrededores alberga muchos bares de tapas y animadas discotecas, y los museos El Prado, Reina Sofía y Thyssen se encuentran a poca distancia a pie."
5,Hotel Life Gran Via Design,"7,2",€ 314,https://www.booking.com/hotel/es/antigua-posada-del-pez.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtyitK0GwAIB0gIkMmM3Y2RiYTgtMjlkNC00MGE4LWJmZWEtZDA5Y2UyZTVhYjI32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=4811599fcc3a0323&srepoch=1705841104&all_sr_blocks=1432605_330823179_2_2_0&highlighted_blocks=1432605_330823179_2_2_0&matching_block_id=1432605_330823179_2_2_0&sr_pri_blocks=1432605_330823179_2_2_0__31400&from=searchresults#hotelTmpl,"El Hotel Life Gran Via Design está situado en el centro de Madrid, a solo 350 metros de las estaciones de metro Gran Vía, Tribunal y Noviciado. Hay WiFi gratuita en todas las instalaciones.

Hay aparcamiento privado en el edificio.

El hotel de diseño ofrece habitaciones modernas con aire acondicionado. El baño privado incluye bañera, ducha, secador de pelo y artículos de aseo gratuitos.

El Templo de Debod y el Parque de la Montaña están a 15 minutos a pie del Hotel Life Gran Via Design. Los famosos Museos Thyssen Bornemisza y del Prado también están a 20 minutos.

La avenida Gran Vía está a 400 metros y a la estación de tren de Atocha está a 5 minutos en coche."
6,Flat55Madrid,"7,5",€ 234,https://www.booking.com/hotel/es/flat5madrid.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtyitK0GwAIB0gIkMmM3Y2RiYTgtMjlkNC00MGE4LWJmZWEtZDA5Y2UyZTVhYjI32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=4811599fcc3a0323&srepoch=1705841104&all_sr_blocks=1226225_384628436_2_0_0&highlighted_blocks=1226225_384628436_2_0_0&matching_block_id=1226225_384628436_2_0_0&sr_pri_blocks=1226225_384628436_2_0_0__23400&from=searchresults#hotelTmpl,"Este establecimiento es luminoso y colorido y transmite el ambiente cosmopolita y animado de Madrid. Todos los días se sirve el desayuno.

Las modernas habitaciones del Flat55Madrid presentan un diseño elegante y actual y cuentan con aire acondicionado. También están equipadas con TV y reproductor de DVD. Algunos baños son compartidos y hay WiFi en todo el establecimiento.

El Flat55Madrid se encuentra en el centro histórico de la ciudad, que data del siglo XIX, cerca de las calles comerciales más importantes que hay alrededor de Gran Vía y Fuencarral."
7,Punta me rooms in Madrid Downtown,"5,5",€ 165,https://www.booking.com/hotel/es/rooms-in-madrid-downtown.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtyitK0GwAIB0gIkMmM3Y2RiYTgtMjlkNC00MGE4LWJmZWEtZDA5Y2UyZTVhYjI32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=4811599fcc3a0323&srepoch=1705841104&all_sr_blocks=1125218007_385297255_3_0_0&highlighted_blocks=1125218007_385297255_3_0_0&matching_block_id=1125218007_385297255_3_0_0&sr_pri_blocks=1125218007_385297255_3_0_0__16500&from=searchresults#hotelTmpl,"Punta me rooms in Madrid Downtown está en el centro de Madrid, cerca de Gran Vía, Estación de metro Gran Vía y Museo Thyssen-Bornemisza. Hay wifi gratis.

Cerca del alojamiento hay puntos de interés como Estación de metro Plaza de España, Templo de Debod y Royal Palace of Madrid. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 13 km."
8,Hostal Madrid Sol,"8,1",€ 266,https://www.booking.com/hotel/es/madrid-sol.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtyitK0GwAIB0gIkMmM3Y2RiYTgtMjlkNC00MGE4LWJmZWEtZDA5Y2UyZTVhYjI32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=4811599fcc3a0323&srepoch=1705841104&all_sr_blocks=54803905_88210069_0_0_0&highlighted_blocks=54803905_88210069_0_0_0&matching_block_id=54803905_88210069_0_0_0&sr_pri_blocks=54803905_88210069_0_0_0__26550&from=searchresults#hotelTmpl,"El Madrid Sol se encuentra a tan solo 2 minutos a pie de la animada calle de las Huertas y a 5 minutos a pie de la Puerta del Sol, y ofrece habitaciones luminosas y modernas, con aire acondicionado, baño privado y conexión WiFi gratuita.

Las habitaciones del Madrid Sol tienen suelo de parquet, decoración moderna, TV de pantalla plana, nevera y baño de colores vivos con ducha, artículos de aseo gratuitos, secador de pelo y espejo de tocador.

Hay un gran número de tiendas, cafeterías y restaurantes alrededor de la plaza de Santa Ana y en el barrio de las Letras.

La estación de metro Puerta del Sol está a escasos 5 minutos a pie, y el Museo del Prado se halla a menos de 10 minutos a pie. La Gran Vía queda a 500 metros del Madrid Sol."
9,Marina Rooms,"8,3",€ 305,https://www.booking.com/hotel/es/marinarooms.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AtyitK0GwAIB0gIkMmM3Y2RiYTgtMjlkNC00MGE4LWJmZWEtZDA5Y2UyZTVhYjI32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=176&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=4811599fcc3a0323&srepoch=1705841104&all_sr_blocks=439602301_131575962_2_0_0&highlighted_blocks=439602301_131575962_2_0_0&matching_block_id=439602301_131575962_2_0_0&sr_pri_blocks=439602301_131575962_2_0_0__30500&from=searchresults#hotelTmpl,"Marina Rooms se encuentra en Madrid, a 14 min a pie de Museo Reina Sofía, y ofrece mostrador de información turística y wifi gratis en todo el alojamiento. El alojamiento está a unos menos de 1 km de Museo Thyssen-Bornemisza, a 7 min a pie de Gran Vía y a 600 metros de Plaza Mayor de Madrid. El alojamiento está a 7 min a pie de Estación de metro Gran Vía y a 300 metros del centro de la ciudad.

Todas las habitaciones disponen de baño privado y aire acondicionado, y algunas tienen además balcón. En el hostal o pensión, todas las habitaciones están equipadas con escritorio y TV de pantalla plana.

Cerca del alojamiento hay puntos de interés como Mercado de San Miguel, Puerta de Toledo y Estación de metro Plaza de España. El aeropuerto más cercano (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 13 km del alojamiento."
